programa,codigo,semestre,asignatura,Lunes,Martes,Miércoles,Jueves,Viernes
MA02,11310001,1.0,LOGICA TEORIA DE NUMEROS Y CONJUNTOS,7:00 - 9:00,7:00 - 9:00,,,
MA02,11310002,1.0,PROGRAMACION DE COMPUTADORES,9:00 - 11:00,9:00 - 11:00,9:00 - 11:00,,
MA02,11310003,2.0,CALCULO 1,,,,7:00 - 9:00,7:00 - 9:00
MA02,11310004,3.0,CALCULO 2,,,7:00 - 9:00,7:00 - 9:00,
MA02,11310006,2.0,ALGORITMOS Y ESTRUCTURAS DE DATOS,7:00 - 9:00,7:00 - 9:00,7:00 - 9:00,,
MA02,11310007,4.0,TEORIA DE LA COMPUTACION,,,,9:00 - 11:00,9:00 - 11:00
MA02,11310010,5.0,ANALISIS REAL,,,,7:00 - 9:00,7:00 - 9:00
MA02,11310011,2.0,FUNDAMENTOS DE SISTEMAS DIGITALES,9:00 - 11:00,9:00 - 11:00,9:00 - 11:00,,
MA02,11310012,4.0,OPTIMIZACION,,7:00 - 9:00,7:00 - 9:00,7:00 - 9:00,
MA02,11310013,5.0,ANALISIS ESTADISTICO DE DATOS,7:00 - 9:00,7:00 - 9:00,7:00 - 9:00,,
MA02,11310014,4.0,TEORIA DE GRAFOS,,9:00 - 11:00,9:00 - 11:00,,
MA02,11310015,6.0,ELEMENTOS DE FISICA,,,7:00 - 9:00,7:00 - 9:00,7:00 - 9:00
MA02,11310017,3.0,INGENIERIA DE DATOS,9:00 - 11:00,9:00 - 11:00,9:00 - 11:00,,
MA02,11310018,6.0,ALGEBRA ABSTRACTA Y CODIFICACION,7:00 - 9:00,7:00 - 9:00,,,
MA02,11310020,7.0,TOPOLOGIA,9:00 - 11:00,9:00 - 11:00,,,
MA02,11310021,7.0,ANALISIS NUMERICO Y COMPUTACION CIENTIFICA,7:00 - 9:00,7:00 - 9:00,,,
MA02,11310025,1.0,PENSAMIENTO MATEMATICO,,,7:00 - 9:00,,
MA02,11310029,8.0,CAPSTONE PROJECT,7:00 - 9:00,,,,
MA02,11310030,3.0,ALGEBRA LINEAL,7:00 - 9:00,7:00 - 9:00,,,
MA02,11310031,3.0,PROBABILIDAD Y ESTADISTICA 1,11:00 - 13:00,,,9:00 - 11:00,9:00 - 11:00
MA02,11310032,3.0,CORNERSTONE PROJECT,,,,,7:00 - 9:00
MA02,11310033,4.0,PROBABILIDAD Y ESTADISTICA 2,9:00 - 11:00,,,,7:00 - 9:00
MA02,11310034,5.0,ECUACIONES DIFERENCIALES,9:00 - 11:00,9:00 - 11:00,,,
MA02,11310036,4.0,CALCULO 3,7:00 - 9:00,,,,
MA02,11310040,6.0,MODELING OF DYNAMICAL SYSTEMS,9:00 - 11:00,9:00 - 11:00,9:00 - 11:00,,
MA02,11310041,5.0,KEYSTONE PROJECT,,,9:00 - 11:00,,
MA02,11310044,1.0,PRECALCULO,,,,7:00 - 9:00,7:00 - 9:00
MA02,11310053,7.0,GEOMETRIA COMPUTACIONAL Y DIFERENCIAL,,,7:00 - 9:00,7:00 - 9:00,7:00 - 9:00
