Cod_asigna,Desc_asign,Tipologia,Credi.Teo.,Cred.Pra.,Curso
11310044,PRECÁLCULO,T,3,0,1
11310002,PROGRAMACIÓN DE COMPUTADORES,T,2,1,1
11010003,QUÍMICA I,T,2,1,1
17210004,ETICA,T,2,0,1
18610031,ANÁLISIS DE TEXTOS,T,2,0,1
32510001,FOUNDATION PROJECT,T,1,2,1
60110260,"CÁTEDRA ROSARISTA, HISTORIA Y ACTUALIDAD",T,2,0,1
11210007,CONSTITUCIÓN POLITICA E INSTRUCCIÓN CIVICA,T,2,0,2
11310003,CÁLCULO 1,T,3,0,2
11310011,FUNDAMENTOS DE SISTEMAS DIGITALES,T,2,1,2
18610030,ANÁLISIS DE ARGUMENTOS,T,2,0,2
32610001,FUNDAMENTOS DE CIRCUITOS,T,2,1,2
73210064,FÍSICA 1,T,2,1,2
11310031,PROBABILIDAD Y ESTADÍSTICA 1,T,2,1,3
11310030,ÁLGEBRA LINEAL,T,3,0,3
11310004,CÁLCULO 2,T,3,0,3
11310032,CORNERSTONE PROJECT,T,0,3,3
73210065,FÍSICA 2,T,2,1,3
32610002,FUNDAMENTOS DE ELECTRÓNICA ANÁLOGA,T,2,1,3
11310012,OPTIMIZACIÓN,T,2,1,4
11310036,CÁLCULO 3,T,2,0,4
11310052,REDES DE COMPUTADORES,T,1,1,4
18610032,ESCRITURA DE ENSAYOS DE OPINIÓN,T,2,0,4
32610003,DISEÑO DE SISTEMAS DIGITALES,T,2,1,4
73210067,FÍSICA 3,T,2,1,4
11310038,VARIABLE COMPLEJA,T,1,1,5
73210066,ECUACIONES DIFERENCIALES Y SISTEMAS DINÁMICOS,T,2,1,5
32610005,CONTROL,T,2,1,6
11310041,KEYSTONE PROJECT,T,0,3,5
11310051,PROCESAMIENTO DE SEÑALES,T,1,1,6
32610004,INSTRUMENTACIÓN,T,0,1,5
32610006,SISTEMAS EMBEBIDOS,T,2,1,7
11310054,TRABAJO DE GRADO 1,P,4,0,8
11310029,CAPSTONE PROJECT,P,0,3,8
11310028,SEMINARIO DE GRADO,P,1,0,8
11310055,TRABAJO DE GRADO 2,P,4,0,8
,,,,,
ELECTIVAS,,,,,
Cod_asigna,Desc_asign,Tipología,Credi.Teo.,Cred.Pra.,Curso
32519999,PROVISIONAL INGENIERIAS FALTAN ASIGNATURAS,C,18,0,
32610007,FUNDAMENTOS DE MANUFACTURA DE SISTEMAS MECATRÓNICOS,C,1,1,
11310073,DESARROLLO MÓVIL,C,1,1,
11310077,SENSORES Y ACTUADORES,C,2,1,
11310078,TEORIA DE NÚMEROS,C,3,0,
11310079,OPERATING SYSTEMS,C,3,0,
11310080,REDES DE DISPOSITIVOS,C,2,1,
11310081,ANÁLISIS FUNCIONAL,C,3,0,
11320028,MODELADO CON DINÁMICA DE SISTEMAS,C,2,1,
15210003,CONTABILIDAD FINANCIERA,C,3,0,
32510008,MODELOS MATEMÁTICOS APLICADOS EN CADENAS DE SUMINISTRO,C,2,1,
32610007,FUNDAMENTOS DE MANUFACTURA DE SISTEMAS MECATRÓNICOS,C,1,1,
32710001,ENERGÍA Y MEDIO AMBIENTE,C,3,0,
83020002,TERRITORIO Y ESPACIO URBANO,C,4,0,
11310071,GEOMETRÍA NO EUCLIDEANA,C,1,1,
11310070,DISEÑO Y ARQUITECTURA DE SOFTWARE,C,1,1,
11310068,COMPUTACIÓN EN LA NUBE,C,1,1,
11310060,SEGURIDAD DE REDES,C,1,1,
11310052,REDES DE COMPUTADORES,C,1,1,
11310046,ELECTIVA DESARROLLO WEB,C,1,1,
